Name,Wins,Losses,Total Played,%wins
ignore,higher_wins,lower_wins,higher_wins,higher_wins
Bjorn Borg,141,17,158,89.241
Roger Federer,138,22,160,86.250
Pete Sampras,203,38,241,84.232
Jimmy Connors,233,49,282,82.624
Ivan Lendl,222,49,271,81.919
John McEnroe,167,38,205,81.463
Andre Agassi,224,53,277,80.866
Boris Becker,163,40,203,80.296
Mats Wilander,144,37,181,79.558
Stefan edberg,178,47,225,79.111
Lleyton Hewitt,110,35,145,75.862
Jim Courier,118,38,156,75.641
Guillermo Vilas,139,45,184,75.543
Michael Chang,120,56,176,68.182
